1-8	Acyclovir
15591-1	Buckwheat IgE RAST
15592-9	Budgie Feather IgE RAST
15593-7	Bumble Bee IgE RAST
1559-4	Insulin 1.5h Post Dose Tolbutamide IV
15594-5	White Burrobrush IgE RAST
15595-2	Burweed Marsh Elder IgE RAST
15596-0	Cabbage IgE RAST
15597-8	Cocoa IgE RAST
15598-6	Canary Feather IgE RAST
15599-4	Candida albicans antibody IgE RAST
156-0	Cephaloridine
15600-0	Melon IgE RAST
15601-8	Starfruit IgE RAST
1560-2	Insulin 1h Post Dose Tolbutamide IV
15602-6	Caraway IgE RAST
15603-4	Careless Weed IgE RAST
15604-2	Carob IgE RAST
15605-9	Carrot IgE RAST
15606-7	Casein IgE RAST
15607-5	Cashew Nut IgE RAST
15608-3	Cat IgE RAST
15609-1	Cat Dander IgE RAST
1561-0	Insulin 1h Post 75 g Glucose PO
15610-9	Cat Epithelium IgE RAST
15611-7	Catfish IgE RAST
15612-5	Cauliflower IgE RAST
15613-3	Italian Cedar IgE RAST
15614-1	Japanese Cedar IgE RAST
15615-8	Mountain Juniper IgE RAST
15616-6	Red Cedar IgE RAST
15617-4	Saltcedar IgE RAST
15618-2	Celery IgE RAST
15619-0	Acremonium IgE RAST
15620-8	Chaetomium globosum IgE RAST
15621-6	Chamomile IgE RAST
15622-4	American Cheese IgE RAST
15623-2	Cheddar Cheese IgE RAST
15624-0	Cottage Cheese IgE RAST
15625-7	Mozzarella Cheese IgE RAST
15626-5	Parmesan Cheese IgE RAST
15627-3	Swiss Cheese IgE RAST
1562-8	Insulin 2.5h Post Dose Tolbutamide IV
15628-1	Cherry IgE RAST
15629-9	Chestnut IgE RAST
15630-7	Horse Chestnut IgE RAST
15632-3	Chestnut Pollen IgE RAST
15633-1	Chicken Feather IgE RAST
15634-9	Chicken Meat IgE RAST
15635-6	Chicory IgE RAST
1563-6	Insulin 2h Post Dose Tolbutamide IV
15636-4	Chinchilla IgE RAST
15637-2	Chloramin T IgE RAST
15638-0	Chortoglyphus arcuatus IgE RAST
15640-6	Chymopapain IgE RAST
15641-4	Cinnamon IgE RAST
15642-2	Cladosporium herbarum IgE RAST
15643-0	Clam IgE RAST
1564-4	Insulin 2h Post 75 g Glucose PO
15644-8	Clove IgE RAST
15645-5	Clover IgE RAST
15646-3	Cocklebur IgE RAST
15647-1	Roach IgE RAST
15649-7	Coconut IgE RAST
15650-5	Codfish IgE RAST
1565-1	Insulin 30m Post Dose Tolbutamide IV
15651-3	Coffee IgE RAST
15652-1	Cola IgE RAST
15653-9	Corn IgE RAST
15654-7	Cultivated Corn Pollen IgE RAST
15655-4	Cultivated Cotton IgE RAST
15656-2	Cotton Fibers IgE RAST
15657-0	Western Cotton IgE RAST
15658-8	Cottonseed IgE RAST
15659-6	Cottonwood IgE RAST
15660-4	Western Cottonwood IgE RAST
15661-2	Cow Dander IgE RAST
15662-0	Cow Epithelium IgE RAST
15663-8	Crab IgE RAST
15664-6	Cranberry IgE RAST
15665-3	Crawfish IgE RAST
15666-1	Cryptococcus terreus IgE RAST
15667-9	Cucumber IgE RAST
15668-7	Curry IgE RAST
1566-9	Insulin 3h Post Dose Tolbutamide IV
15669-5	Curvularia lunata IgE RAST
15670-3	Curvularia specifera IgE RAST
15671-1	Arizona Cypress IgE RAST
15672-9	Bald Cypress IgE RAST
15673-7	Italian Cypress IgE RAST
15674-5	Daisy IgE RAST
15675-2	Ox-eye daisy IgE RAST
15676-0	Dandelion IgE RAST
1567-7	Insulin 3h Post 75 g Glucose PO
15677-8	Daphnia IgE RAST
15678-6	Date Pollen IgE RAST
15679-4	Deer Epithelium IgE RAST
15680-2	Dermatophagoides farinae IgE RAST
15681-0	Dermatophagoides microceras IgE RAST
15682-8	Dermatophagoides pteronyssinus IgE RAST
15683-6	Dill IgE RAST
15684-4	Yellow Dockweed IgE RAST
1568-5	Insulin 4h Post 75 g Glucose PO
15685-1	Dog Dander IgE RAST
15686-9	Dog Epithelium IgE RAST
15687-7	Duck Feather IgE RAST
15688-5	Echinococcus IgE RAST
15689-3	Egg White IgE RAST
15690-1	Whole Egg IgE RAST
15691-9	Egg Yolk IgE RAST
15692-7	Eggplant IgE RAST
1569-3	Insulin 5h Post 75 g Glucose PO
15693-5	Marsh Elder IgE RAST
15694-3	Elderberry IgE RAST
15696-8	Elk Meat IgE RAST
15697-6	White Elm IgE RAST
15698-4	Chinese Elm IgE RAST
15699-2	Endive IgE RAST
15700-8	Epicoccum purpurascens IgE RAST
1570-1	Insulin Baseline
15701-6	Epidermophyton floccosum IgE RAST
15702-4	Ethylene Oxide IgE RAST
15703-2	Gum-Tree IgE RAST
15704-0	Euroglyphus maynei IgE RAST
15705-7	Dog Fennel IgE RAST
15706-5	Fennel Fresh IgE RAST
15707-3	Fennel Seed IgE RAST
15708-1	Ferret Epithelium IgE RAST
15709-9	Meadow Fescue IgE RAST
15710-7	Goose Feather IgE Ql
15711-5	Douglas Fir IgE RAST
15712-3	Firebush IgE RAST
15713-1	Fiscus IgE RAST
15714-9	Flea IgE RAST
15715-6	Flounder IgE RAST
15716-4	Black Fly IgE RAST
15717-2	Horse Fly IgE RAST
15718-0	Formaldehyde IgE RAST
1571-9	Insulin Pre Dose Tolbutamide IV
15719-8	Fox IgE RAST
15720-6	Meadow Foxtail IgE RAST
15721-4	Fusarium culmorum IgE RAST
15722-2	Fusarium moniliforme IgE RAST
15723-0	Fusarium solani IgE RAST
15724-8	Garlic IgE RAST
15725-5	Gelatin IgE RAST
15726-3	Geotrichum candidum IgE RAST
1572-7	Insulin Pre 75 g Glucose PO
15727-1	Gerbil IgE RAST
15728-9	Ginger IgE RAST
15729-7	Gluten IgE RAST
15730-5	Glycophagus domesticus IgE RAST
15731-3	Goat Epithelium IgE RAST
15732-1	Goat Milk IgE RAST
15733-9	Goldenrod IgE RAST
15734-7	Goose Feather IgE RAST
1573-5	Insulin Post 12h Fasting
15735-4	Grape IgE RAST
15736-2	Grapefruit IgE RAST
15737-0	Bahia Grass  IgE RAST
15738-8	Bermuda Grass IgE RAST
15739-6	Canadian Blue Grass IgE RAST
15740-4	Brome IgE RAST
15741-2	False Oat Grass IgE RAST
15742-0	Gramma Grass  IgE RAST
1574-3	17-Ketogenic Steroids 24h Post 40 ug Corticotropin [ACTH] IM BID 3d; 24h Urine
15743-8	Johnson Grass IgE RAST
15744-6	Kentucky Blue Grass IgE RAST
15745-3	Koehlers Grass  IgE RAST
15746-1	Cocksfoot IgE RAST
15747-9	Quack Grass IgE RAST
15748-7	Red Top Grass IgE RAST
15749-5	Perennial Rye Grass IgE RAST
1575-0	17-Ketogenic Steroids 48h Post 40 ug Corticotropin [ACTH] IM BID 3d; 24h Urine
15751-1	Wild Rye Grass IgE RAST
15752-9	Salt Grass  IgE RAST
15753-7	Sorghum Grass  IgE RAST
15754-5	Sudan Grass IgE RAST
15755-2	SW Vernal Grass IgE RAST
15756-0	Velvet Grass  IgE RAST
15757-8	Guar Gum IgE RAST
15758-6	Guava IgE RAST
15759-4	Guinea Pig Epithelium IgE RAST
15760-2	Gum Arabic IgE RAST
15761-0	Sweetgum IgE RAST
15762-8	Hackberry tree IgE RAST
15763-6	Haddock IgE RAST
15764-4	Halibut IgE RAST
15765-1	Hamster Epithelium IgE RAST
15766-9	Hazelnut IgE RAST
15767-7	Hazelnut Pollen IgE RAST
1576-8	17-Ketogenic Steroids 48h Post 500 ug Dexamethasone PO 2.5d Low Dose Q6H; 24h Urine
15768-5	Helminthosporium IgE RAST
15769-3	Helminthosporium halodes IgE RAST
15770-1	Eastern Hemlock IgE RAST
15771-9	Water Hemp IgE RAST
15772-7	Herring IgE RAST
15773-5	Pecan/Hick Nut IgE RAST
15774-3	Pecan/Hick Tree IgE RAST
15775-0	Shellbark Hickory IgE RAST
1577-6	17-Ketogenic Steroids 48h Post 2 mg Dexamethasone PO 2.5d High Dose Q6H; 24h Urine
15776-8	White Hickory IgE RAST
15777-6	Honey IgE RAST
15778-4	Honeysuckle IgE RAST
15779-2	Hop IgE RAST
157-8	Cephaloridine
15780-0	Hornbeam IgE RAST
15781-8	Hornet IgE RAST
15782-6	Whitefaced Hornet IgE RAST
15783-4	Yellow Hornet IgE RAST
1578-4	17-Ketogenic Steroids 72h Post 40 ug Corticotropin [ACTH] IM BID 3d; 24h Urine
15784-2	Horse Dander IgE RAST
15785-9	Horse Epithelium IgE RAST
15786-7	Horse Serum Proteins IgE RAST
15787-5	Horseradish IgE RAST
15788-3	House Dust IgE RAST
15789-1	House Dust Greer IgE RAST
15790-9	House Dust Hauss IgE RAST
15791-7	House Dust HS IgE RAST
1579-2	17-Ketogenic Steroids Pre 50 ug Corticotropin [ACTH] IM 3d; 24h Urine
15792-5	Insulin Bovine IgE RAST
15793-3	Insulin Human IgE RAST
15794-1	Insulin Porcine IgE RAST
15795-8	Iodinebush IgE RAST
15796-6	Isocyanate HDI IgE RAST
15797-4	Isocyanate MDI IgE RAST
15798-2	Isocyanate TDI IgE RAST
15799-0	Ispaghula IgE RAST
15-8	Amoxicillin
1580-0	17-Ketogenic Steroids Pre 500 ug Dexamethasone PO 2.5d Low Dose Q6H; 24h Urine
15800-6	Juniper IgE RAST
15801-4	Kapok IgE RAST
15802-2	Kiwifruit IgE RAST
15803-0	Lamb IgE RAST
15804-8	Mutton IgE RAST
15805-5	Goosefoot IgE RAST
15806-3	Latex IgE RAST
15807-1	Latex Glove Extract IgE RAST
15808-9	Latex Glove Extract Ammoniated IgE RAST
15809-7	Latex Glove Extract Buffered IgE RAST
15810-5	Legume IgE RAST
15811-3	Lemon IgE RAST
15812-1	Lenscale IgE RAST
15813-9	Lentils IgE RAST
15814-7	Lepidoglyphus destructor IgE RAST
15815-4	Lettuce IgE RAST
15816-2	Lilac IgE RAST
15817-0	Easter Lily IgE RAST
1581-8	17-Ketogenic Steroids Pre 2 mg Dexamethasone PO 2.5d High Dose Q6H; 24h Urine
15818-8	Lime IgE RAST
15819-6	Linden IgE RAST
15820-4	Beef Liver IgE RAST
15821-2	Lobster IgE RAST
15822-0	Spiny Lobster IgE RAST
15823-8	Black Locust IgE RAST
15824-6	Lupin IgE RAST
15825-3	Lycopodium IgE RAST
1582-6	Lactose 1h Post 50 g Lactose PO
15826-1	Lysozyme IgE RAST
15827-9	Mackerel IgE RAST
15828-7	Chub Mackerl IgE RAST
15829-5	Scad IgE RAST
15831-1	Malt IgE RAST
15832-9	Mango IgE RAST
15833-7	Coastal Maple IgE RAST
1583-4	Lactose 2h Post 50 g Lactose PO
15834-5	Red Maple IgE RAST
15835-2	Silver Maple IgE RAST
15836-0	Sugar Maple IgE RAST
15837-8	Mare Milk IgE RAST
15838-6	Marjoram IgE RAST
15839-4	Maxatase IgE RAST
15840-2	Whiff IgE RAST
15841-0	Cajeput Tree IgE RAST
1584-2	Lactose 30m Post 50 g Lactose PO
15843-6	Mesquite IgE RAST
15844-4	Mexican Tea IgE RAST
15845-1	Green Nimitti IgE RAST
15846-9	Milk IgE RAST
15847-7	Cow Milk Boiled IgE RAST
15848-5	Milk Powder IgE RAST
15849-3	Common Millet IgE RAST
15850-1	Foxtail Millet IgE RAST
15851-9	Cockspur IgE RAST
15852-7	Mink Epithelium IgE RAST
15853-5	Mint IgE RAST
15854-3	Cheese Mold IgE RAST
15855-0	Chrysonilia sitophila IgE RAST
15856-8	Mosquito IgE RAST
15857-6	Moth IgE RAST
15858-4	Mediterrean Flour Moth IgE RAST
1585-9	Lactose Pre 12h Fasting
15859-2	Mouse Epithelium IgE RAST
158-6	Cephaloridine
15860-0	Mouse Serum Proteins IgE RAST
15861-8	Mouse Urine Proteins IgE RAST
15862-6	Mucor racemosus IgE RAST
15863-4	Mugwort IgE RAST
15864-2	White Mulberry IgE RAST
15866-7	Mushroom IgE RAST
1586-7	Lead Post EDTA Therapy; Urine
15869-1	Blue Mussel IgE RAST
15870-9	Mustard IgE RAST
15871-7	Nectarine IgE RAST
15872-5	Nettle IgE RAST
15873-3	Nigrospora sphaerica IgE RAST
15874-1	Nutmeg IgE RAST
1587-5	Luteinizing Hormone [LH] 1.5h Post 100 g Luteinizing Hormone [LH] IV
15875-8	White Oak IgE RAST
15876-6	California Black Oak IgE RAST
15877-4	Coastal Oak IgE RAST
15878-2	Gamble Oak IgE RAST
15879-0	Jerusalem Oak IgE RAST
15880-8	Virg Live Oak IgE RAST
15881-6	Red Oak IgE RAST
15882-4	Valley Oak IgE RAST
1588-3	Luteinizing Hormone [LH] 1.5h Post Dose Gonadotropin Releasing Hormone
15885-7	Oat IgE RAST
15886-5	Oat Pollen IgE RAST
15888-1	Octopus IgE RAST
15889-9	Oidiodendrum IgE RAST
15890-7	Okra IgE RAST
1589-1	Luteinizing Hormone [LH] 105m Post 100 g Luteinizing Hormone [LH] IV
15891-5	Olive IgE RAST
15892-3	Olive Pollen IgE RAST
15893-1	Onion IgE RAST
15894-9	Orange IgE RAST
15895-6	Oregano IgE RAST
15896-4	Orris Root IgE RAST
15897-2	Ovalbumin IgE RAST
15898-0	Ovomucoid IgE RAST
15899-8	Oyster IgE RAST
15900-4	Queen Palm IgE RAST
15901-2	Papaya IgE RAST
15902-0	Paprika IgE RAST
15903-8	Parakeet Feather IgE RAST
15904-6	Budgie Drop IgE RAST
15906-1	Budgie Serum Protein IgE RAST
15907-9	Parrot Droppings IgE RAST
15908-7	Parrot Feather IgE RAST
1590-9	Luteinizing Hormone [LH] 15m Post 100 g Luteinizing Hormone [LH] IV
15909-5	Parrot Serum Proteins IgE RAST
15910-3	Parsley IgE RAST
15911-1	Parsnip IgE RAST
15912-9	Passion Fruit IgE RAST
15913-7	Pea IgE RAST
15914-5	Black-eye Bean IgE RAST
15915-2	Chick Pea IgE RAST
15916-0	Peach IgE RAST
1591-7	Luteinizing Hormone [LH] 1h Post 100 g Luteinizing Hormone [LH] IV
15917-8	Peanut IgE RAST
15918-6	Pear IgE RAST
15921-0	Penicillin G IgE RAST
15922-8	Penicillin V IgE RAST
15923-6	Penicillium frequentans IgE RAST
15924-4	Penicillium notatum IgE RAST
1592-5	Luteinizing Hormone [LH] 1h Post Dose Gonadotropin Releasing Hormone
15925-1	Black Pepper IgE RAST
15926-9	Cayenne IgE RAST
15927-7	Chili Pepper IgE RAST
15928-5	Green Pepper IgE RAST
15929-3	Peppertree IgE RAST
15930-1	Perch IgE RAST
15931-9	Phoma betae IgE RAST
15932-7	Phospholipase IgE RAST
1593-3	Luteinizing Hormone [LH] 2h Post 100 g Luteinizing Hormone [LH] IV
15933-5	Phthalic Anhydride IgE RAST
15934-3	Pigeon Droppings IgE RAST
15935-0	Pigeon Feather IgE RAST
15936-8	Common Pigweed IgE RAST
15937-6	Rough Pigweed IgE RAST
15938-4	Spiny Pigweed IgE RAST
15939-2	Austrian Pine IgE RAST
159-4	Cephaloridine; Isolate+Ser
15940-0	Loblolly Pine IgE RAST
1594-1	Luteinizing Hormone [LH] 2h Post Dose Gonadotropin Releasing Hormone
15941-8	Long Leaf Pine IgE RAST
15942-6	Monterey Pine IgE RAST
15943-4	Pine Nut IgE RAST
15944-2	Short Leaf Pine IgE RAST
15945-9	Slash Pine IgE RAST
15946-7	Virginia Scrub Pine IgE RAST
15947-5	Eastern White Pine IgE RAST
15948-3	Pineapple IgE RAST
15949-1	Pistachio IgE RAST
15950-9	Malassezia furfur IgE RAST
15951-7	Plaice IgE RAST
15952-5	English Plantain IgE RAST
15953-3	Plum IgE RAST
15954-1	Black Cottonwood IgE RAST
15955-8	Poppy Seed IgE RAST
15956-6	Pork IgE RAST
15957-4	Potato IgE RAST
1595-8	Luteinizing Hormone [LH] 30m Post 100 g Luteinizing Hormone [LH] IV
15958-2	Sweet Potato IgE RAST
15959-0	Povertyweed IgE RAST
15960-8	Privet IgE RAST
15961-6	Protamine IgE RAST
15962-4	Prune IgE RAST
15963-2	Psyllium seed IgE RAST
15964-0	Aureobasidium pullulans IgE RAST
1596-6	Luteinizing Hormone [LH] 30m Post Dose Gonadotropin Releasing Hormone
15966-5	Pumpkin IgE RAST
15967-3	Pumpkin Seed IgE RAST
15968-1	Pyrethrum IgE RAST
15969-9	Rabbit Meat IgE RAST
15970-7	Rabbit Bush IgE RAST
15971-5	Rabbit Epithelium IgE RAST
15972-3	Rabbit Serum Proteins IgE RAST
15973-1	Rabbit Urine Proteins IgE RAST
1597-4	Luteinizing Hormone [LH] 45m Post 100 g Luteinizing Hormone [LH] IV
15974-9	Radish IgE RAST
15975-6	Common Ragweed IgE RAST
15976-4	Desert Ragweed IgE RAST
15977-2	Franseria acanthicarpa IgE RAST
15978-0	Giant Ragweed IgE RAST
15980-6	Southern Ragweed IgE RAST
15981-4	Western Ragweed IgE RAST
1598-2	Luteinizing Hormone [LH] 75m Post 100 g Luteinizing Hormone [LH] IV
15982-2	Rapeseed IgE RAST
15983-0	Raspberry IgE RAST
15984-8	Rat Epithelium IgE RAST
15985-5	Rat Serum Proteins IgE RAST
15986-3	Rat Urine Proteins IgE RAST
15987-1	Redwood IgE RAST
15988-9	Canary Grass  IgE RAST
15989-7	Common Reed IgE RAST
1599-0	Luteinizing Hormone [LH] Baseline
15990-5	Reindeer Epithelium IgE RAST
15991-3	Rhizopus nigricans IgE RAST
15992-1	Rhodatorula IgE RAST
15993-9	Rhubarb IgE RAST
15994-7	Rice IgE RAST
15995-4	Wild Rice IgE RAST
15996-2	Rose Hip IgE RAST
15997-0	Cultivated Rye IgE RAST
15998-8	Rye IgE RAST
16001-0	Safflower IgE RAST
16002-8	Sage IgE RAST
16003-6	Sagebrush IgE RAST
16005-1	Saline Fish Feed IgE RAST
1600-6	Luteinizing Hormone [LH] Pre Dose Gonadotropin Releasing Hormone
16006-9	Salmon IgE RAST
16007-7	Saltbush IgE RAST
16008-5	Sardine (pilchard) IgE RAST
16009-3	Savinase IgE RAST
16011-9	Scallop IgE RAST
16012-7	Scotch Broom IgE RAST
16013-5	Sericin IgE RAST
1601-4	Norepinephrine Supine
16014-3	Sesame Seed IgE RAST
16015-0	Sheep Epithelium IgE RAST
16016-8	Sheep Sorrel IgE RAST
16017-6	Sheep Wool IgE RAST
16018-4	Shrimp IgE RAST
16019-2	Silk IgE RAST
160-2	Cephalothin
16020-0	Silk Waste IgE RAST
16021-8	Silver IgE RAST
1602-2	Norepinephrine 10m Post Standing
16022-6	Bermuda Grass  Smut IgE RAST
16023-4	Johnson Grass Smut IgE RAST
16024-2	Escargot IgE RAST
16025-9	Red Snapper IgE RAST
16026-7	Sole IgE RAST
16027-5	Spinach IgE RAST
16028-3	Spondylocladium citrovirens IgE RAST
16029-1	Spruce IgE RAST
1603-0	Norepinephrine 1h Post 300 ug Clonidine PO
16030-9	Squash IgE RAST
16031-7	Squid IgE RAST
16032-5	Pacific Squid IgE RAST
16033-3	Stemphylium botryosum IgE RAST
16034-1	Stemphylium solani IgE RAST
16035-8	Acarus siro IgE RAST
16037-4	Tyrophagus putrescentiae IgE RAST
16038-2	Strawberry IgE RAST
16039-0	Succinylcholine IgE RAST
16040-8	Sugar Cane IgE RAST
16041-6	Sunflower Pollen IgE RAST
16042-4	Sunflower Seed IgE RAST
16043-2	Swine Epithelium IgE RAST
16044-0	Swine Urine Proteins IgE RAST
16045-7	Swordfish IgE RAST
16046-5	American Sycamore IgE RAST
16047-3	Mandarin IgE RAST
1604-8	Norepinephrine 2h Post 300 ug Clonidine PO
16048-1	Tapioca IgE RAST
16049-9	Tarragon IgE RAST
16050-7	Tea IgE RAST
16051-5	Tetramin IgE RAST
16052-3	Saltwort IgE RAST
16053-1	Thyme IgE RAST
16054-9	Timothy IgE RAST
1605-5	Norepinephrine 3h Post 300 ug Clonidine PO
16055-6	Cigarette Tobacco IgE RAST
16056-4	Tobacco IgE RAST
16057-2	Tomato IgE RAST
16058-0	Tragacanth IgE RAST
16059-8	Trichoderma viride IgE RAST
16060-6	Trichophyton IgE RAST
16061-4	Trichophyton rubrum IgE RAST
16062-2	Trichosporon IgE RAST
1606-3	Norepinephrine Pre 300 ug Clonidine PO
16063-0	Trimellitic Anhydride IgE RAST
16064-8	Trout IgE RAST
16065-5	Tuna IgE RAST
16066-3	Turkey Meat IgE RAST
16067-1	Turnip IgE RAST
16069-7	Ulocladium chartarum IgE RAST
16070-5	Barley Smut IgE RAST
1607-1	Osmolality 12h Fasting; Urine
16071-3	Vanilla IgE RAST
16072-1	Veal IgE RAST
16073-9	Pellitory IgE RAST
16074-7	Walnut IgE RAST
16075-4	Black Walnut IgE RAST
16076-2	Black Walnut Pollen IgE RAST
16077-0	English Walnut Pollen IgE RAST
16078-8	California Walnut Pollen IgE RAST
16080-4	Paper Wasp IgE RAST
16082-0	Yellow Jacket IgE RAST
16083-8	Watermelon IgE RAST
16084-6	Grain Weevel IgE RAST
16085-3	Wheat IgE RAST
16086-1	Cultivated Wheat Pollen IgE RAST
16088-7	Wheat Stem Rust IgE RAST
1608-9	Osmolality 8h Fasting; Urine
16089-5	Cow Whey IgE RAST
16090-3	Whitefish IgE RAST
16091-1	Willow IgE RAST
16092-9	Black Willow IgE RAST
16093-7	Pussy Willow IgE RAST
16094-5	Wingscale IgE RAST
16095-2	Wormwood IgE RAST
16096-0	Saccharomyces cerevisiae IgE RAST
1609-7	Prolactin 1.5h Post Dose Insulin IV
16097-8	Bakers Yeast IgE RAST
16098-6	Brewers Yeast IgE RAST
16099-4	Ethionamide
161-0	Cephalothin
16100-0	Rifabutin
16101-8	Cumin IgE
16102-6	Bovine Gelatin IgE
16103-4	Porcine Gelatin IgE
16104-2	Paper Mulberry IgE
1610-5	Prolactin 1h Post Dose L-Dopa PO
16105-9	Pheasant IgE
16106-7	CD8+ CD28+ Cells; Blood
16107-5	CD8+ HLA-DR+ Cells; Blood
16108-3	17-Hydroxyprogesterone 45m Post 250 ug Corticotropin [ACTH] IM
16109-1	Prolactin 2h Post XXX Challenge
16110-9	11-Deoxycorticosterone; 24h Urine
16111-7	Epinephrine + Norepinephrine; 24h Urine
16112-5	Estrogen Receptor
1611-3	Prolactin 1h Post Dose Thyroid Releasing Hormone [TRH] IV
16113-3	Progesterone Receptor
16114-1	Amitriptyline; Urine
16115-8	Doxepin; Tissue Unspecified
16116-6	Tetrahydrocortisone; 24h Urine
16117-4	Babesia microti antibody IgG
16118-2	Babesia microti antibody IgM
16119-0	Brucella abortus antibody IgG
16120-8	Brucella abortus antibody IgM
1612-1	Prolactin 1h Post Dose Insulin IV
16121-6	Colorado tick fever virus antibody IgG
16122-4	Colorado tick fever virus antibody IgM
16123-2	Cryptococcus species antibody
16124-0	Cryptococcus species antibody
16125-7	Helicobacter pylori antibody IgA
16126-5	Helicobacter pylori antibody IgG
16127-3	Helicobacter pylori antibody IgM
16128-1	Hepatitis C virus antibody
16129-9	Hepatitis C virus antibody IgG
16130-7	Herpes simplex virus 1 DNA
16131-5	Herpes simplex virus 2 DNA
16132-3	HIV 1 P15+P18 antibody
16133-1	Legionella pneumophila antibody IgM
16134-9	Neisseria meningitidis
16135-6	Beta 2 Glycoprotein 1 antibody IgG
16136-4	Beta 2 Glycoprotein 1 antibody IgM
16137-2	Centromere antibody
16138-0	Monosialoganglioside GM1 antibody IgA
1613-9	Prolactin 2h Post Dose L-Dopa PO
16139-8	Neuronal Nuclear antibody; CSF
16140-6	Tellurium; Blood
16141-4	Nitrogen; Stool
16142-2	Fat; Stool
16144-8	Droperidol
16145-5	Mescaline
16146-3	Psilocin
1614-7	Prolactin 30m Post Dose Thyroid Releasing Hormone [TRH] IV
16147-1	Aldosterone 3rd Specimen Post XXX Challenge
16148-9	Aldosterone 4th Specimen Post XXX Challenge
16149-7	Aldosterone 5th Specimen Post XXX Challenge
16150-5	Carboxy Tetrahydrocannabinol
16151-3	Dechlorane
16152-1	Gastrin 2nd Specimen Post XXX Challenge
16153-9	Gastrin 3rd Specimen Post XXX Challenge
1615-4	Prolactin 30m Post Dose Insulin IV
16154-7	Gastrin 4th Specimen Post XXX Challenge
16155-4	Gastrin 5th Specimen Post XXX Challenge
16156-2	Gastrin 6th Specimen Post XXX Challenge
16157-0	Gastrin 7th Specimen Post XXX Challenge
16158-8	Gastrin 8th Specimen Post XXX Challenge
16159-6	Gastrin 9th Specimen Post XXX Challenge
16160-4	Gastrin 10th Specimen Post XXX Challenge
16161-2	Gastrin Post XXX Challenge
16162-0	Parathyrin [PTH] Intact 30m Post XXX Challenge
16163-8	Parathyrin [PTH] Intact 1h Post XXX Challenge
16164-6	Parathyrin [PTH] Intact 2h Post XXX Challenge
16165-3	Glucose 10 AM Specimen
16166-1	Glucose 11 AM Specimen
16167-9	Glucose 2 PM Specimen
16168-7	Glucose 3 PM Specimen
16169-5	Glucose 4 PM Specimen
1617-0	Prolactin 3h Post Dose L-Dopa PO
16170-3	Glucose 5 PM Specimen
16171-1	Cocaethylene; Hair
16172-9	Magnesium; Hair
16173-7	Amyl Ether; Blood
16174-5	Bartonella henselae antibody IgG
16175-2	Bartonella henselae antibody IgM
16176-0	Bartonella quintana antibody IgG
16177-8	Bartonella quintana antibody IgM
16178-6	Beryllium; Tissue Unspecified
16179-4	Polychlorinated Biphenyl; Tissue Unspecified
16180-2	Zinc; Tissue Unspecified
16181-0	Tricyclic Antidepressants; Urine
16182-8	Alkaline Phosphatase Isoenzymes
16183-6	Phenolphthalein; Stool
16184-4	Temazepam; Stool
16185-1	Chlordiazepoxide; Stool
16186-9	Hydroxyalprazolam; Stool
16187-7	Alprazolam; Stool
1618-8	Prolactin 45m Post Dose Insulin IV
16188-5	Creatinine 2h Specimen
16189-3	Creatinine 4h Specimen
16190-1	Amobarbital; Urine
16191-9	Butabarbital; Urine
16192-7	Phenobarbital; Urine
16193-5	Pentobarbital; Urine
16194-3	Secobarbital; Urine
16195-0	Benzodiazepines; Urine
1619-6	Prolactin Pre Dose L-Dopa PO
16196-8	Morphine; Urine
16197-6	Codeine; Urine
16198-4	Diamorphine; Urine
16199-2	Methadone; Urine
16200-8	Propoxyphene; Urine
16201-6	Oxazepam; Urine
16202-4	Nordiazepam; Urine
16203-2	Alprazolam; Urine
1620-4	Prolactin Pre Dose Thyroid Releasing Hormone [TRH] IV
16204-0	Clonazepam; Urine
16205-7	Lorazepam; Urine
16206-5	Temazepam; Urine
16207-3	Meperidine; Urine
16208-1	Buprenorphine; Urine
16209-9	Chlorpheniramine; Urine
16210-7	Diethylpropion; Urine
16211-5	Dihydrocodeine; Urine
1621-2	Prolactin Pre Dose Insulin IV
16212-3	Ethylamphetamine; Urine
16213-1	Levorphanol; Urine
16214-9	Lysergate Diethylamide; Urine
16215-6	Mephobarbital
16216-4	Methylephedrine; Urine
16217-2	Methyprylon; Urine
16218-0	Nalbuphine; Urine
16219-8	Pentazocine; Urine
1622-0	Renin 5h Post 600 ug Furosemide PO
16220-6	Phenmetrazine; Urine
16221-4	Phenothiazine; Urine
16222-2	Phentermine; Urine
16223-0	Thiopental; Urine
16224-8	Triazolam; Urine
16225-5	Amitriptyline; Urine
16226-3	Benzoylecgonine; Urine
16227-1	Diazepam; Urine
16228-9	Nordiazepam; Urine
16229-7	Clonazepam; Urine
16230-5	N-Desalkylflurazepam; Urine
16231-3	Flurazepam; Urine
16232-1	Triazolam; Urine
16233-9	Midazolam; Urine
16234-7	Amphetamine; Urine
16235-4	Methamphetamine; Urine
16236-2	Butabarbital; Urine
16237-0	Butalbital; Urine
1623-8	Renin Pre 600 ug Furosemide PO
16238-8	Secobarbital; Urine
16239-6	Amobarbital; Urine
16240-4	Pentobarbital; Urine
16241-2	Phenobarbital; Urine
16242-0	Propoxyphene; Urine
16243-8	Cannabinoids; Blood
16244-6	Methaqualone; Urine
16245-3	Hydroxyethylflurazepam
1624-6	Retinol 3h Post 5000 Units
16246-1	Methadone; Urine
16247-9	Dextromethorphan
16248-7	6-Monoacetylmorphine Free
